ImageID,Source,LabelName,Confidence,XMin,XMax,YMin,YMax,IsOccluded,IsTruncated,IsGroupOf,IsDepiction,IsInside,XClick1X,XClick2X,XClick3X,XClick4X,XClick1Y,XClick2Y,XClick3Y,XClick4Y
000731dd242627f2,xclick,/m/083kb,1,0.500625,0.68875,0.646341,0.946529,0,0,0,0,0,0.500625,0.68875,0.625625,0.504375,0.646341,0.902439,0.946529,0.790807
000731dd242627f2,xclick,/m/083kb,1,0.59375,0.8775,0.113508,0.930582,0,0,0,0,0,0.659375,0.8775,0.850625,0.59375,0.113508,0.824578,0.930582,0.602251
0007ff438786b5ff,xclick,/m/083kb,1,0.289375,0.73875,0.139775,0.896811,0,0,0,0,0,0.73875,0.676875,0.289375,0.48625,0.181989,0.139775,0.681051,0.896811
000b9a97776b3634,xclick,/m/083kb,1,0.440625,0.51375,0.513158,0.680451,1,0,0,0,0,0.486875,0.440625,0.51375,0.451875,0.513158,0.618421,0.620301,0.680451
00117a00b1dc48dc,xclick,/m/083kb,1,0.26625,0.286875,0.432483,0.554296,0,0,0,0,0,0.278125,0.26625,0.27125,0.286875,0.432483,0.539188,0.554296,0.482531
00117a00b1dc48dc,xclick,/m/083kb,1,0.364375,0.373125,0.449481,0.546742,0,0,0,0,0,0.371875,0.364375,0.373125,0.365625,0.453258,0.546742,0.449481,0.546742
0012619786e2ef90,activemil,/m/083kb,1,0.005,0.526667,0.01,0.73875,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0013356a9d5d526a,xclick,/m/083kb,1,0.355,0.445,0.394934,0.624765,1,0,0,0,0,0.3875,0.445,0.4,0.355,0.394934,0.528143,0.624765,0.601313
001edeee73440b15,xclick,/m/083kb,1,0.463125,0.541875,0.397778,0.832222,0,0,0,1,0,0.5275,0.541875,0.498125,0.463125,0.397778,0.766667,0.832222,0.756667
001edeee73440b15,xclick,/m/083kb,1,0.80375,0.913125,0.351111,0.871111,1,0,0,1,0,0.89,0.913125,0.808125,0.80375,0.351111,0.366667,0.871111,0.861111
002172c48265b973,xclick,/m/083kb,1,0.0425,0.08,0.582862,0.653484,1,0,0,0,0,0.048125,0.08,0.07625,0.0425,0.582862,0.635593,0.653484,0.587571
002f9eba0ed54904,xclick,/m/083kb,1,0.516875,0.739375,0.3023,0.726177,1,0,0,0,0,0.5325,0.739375,0.736875,0.516875,0.3023,0.719606,0.726177,0.3023
00410cf982be7b7c,xclick,/m/083kb,1,0.085625,0.11,0.553688,0.582633,1,0,0,0,0,0.10875,0.085625,0.11,0.096875,0.553688,0.570495,0.555556,0.582633
00410cf982be7b7c,xclick,/m/083kb,1,0.21,0.265,0.493931,0.551821,1,0,0,0,0,0.2625,0.21,0.265,0.236875,0.493931,0.521008,0.493931,0.551821
00410cf982be7b7c,xclick,/m/083kb,1,0.565625,0.75375,0.266106,0.402428,1,0,0,0,0,0.75125,0.75375,0.651875,0.565625,0.266106,0.271709,0.402428,0.366013
00559e8576ad8108,xclick,/m/083kb,1,0.439453,0.821289,0.425844,0.703377,0,0,0,0,0,0.439453,0.706055,0.821289,0.450195,0.674009,0.425844,0.56094,0.703377
005b47528e6a32cb,xclick,/m/083kb,1,0.283125,0.344375,0.186441,0.40678,0,0,0,0,0,0.283125,0.285625,0.344375,0.338125,0.186441,0.217514,0.387006,0.40678
005b47528e6a32cb,xclick,/m/083kb,1,0.331875,0.379375,0.211864,0.410546,0,0,0,0,0,0.331875,0.333125,0.379375,0.3725,0.211864,0.237288,0.37194,0.410546
005b47528e6a32cb,xclick,/m/083kb,1,0.393125,0.455,0.163842,0.39548,0,0,0,0,0,0.440625,0.393125,0.455,0.399375,0.163842,0.242938,0.26742,0.39548
005b47528e6a32cb,xclick,/m/083kb,1,0.42125,0.5175,0.22693,0.410546,0,0,0,0,0,0.50875,0.42125,0.434375,0.5175,0.22693,0.387006,0.410546,0.275895
005b47528e6a32cb,xclick,/m/083kb,1,0.448125,0.61625,0.196798,0.419962,0,0,0,0,0,0.453125,0.61625,0.61625,0.448125,0.419962,0.202448,0.196798,0.413371
006deca414d3ca79,xclick,/m/083kb,1,0.477143,0.607143,0.305714,0.485714,0,0,0,0,0,0.607143,0.587143,0.477143,0.552857,0.377143,0.305714,0.351429,0.485714
006deca414d3ca79,xclick,/m/083kb,1,0.858571,0.985714,0.274286,0.462857,1,0,0,0,0,0.858571,0.938571,0.985714,0.974286,0.314286,0.462857,0.322857,0.274286
007bf49a731720ed,xclick,/m/083kb,1,0.239382,0.48906,0.226891,0.341737,0,0,0,0,0,0.239382,0.344916,0.48906,0.356499,0.266106,0.226891,0.289916,0.341737
007bf49a731720ed,xclick,/m/083kb,1,0.446589,0.58816,0.176471,0.245098,0,0,0,0,0,0.553411,0.446589,0.462033,0.58816,0.176471,0.176471,0.245098,0.190476
00833f286b925740,xclick,/m/083kb,1,0.189099,0.579533,0.919271,0.998698,0,0,0,0,0,0.579533,0.317019,0.189099,0.579533,0.976562,0.919271,0.93099,0.998698
0091c5c4be438ef8,xclick,/m/083kb,1,0.525,0.599,0.612121,0.627273,1,0,0,0,0,0.527,0.599,0.599,0.525,0.612121,0.627273,0.627273,0.616667
0091c5c4be438ef8,xclick,/m/083kb,1,0.61,0.64,0.572727,0.662121,1,0,0,0,0,0.617,0.64,0.63,0.61,0.572727,0.657576,0.662121,0.580303
009fcbfbaa8499ce,xclick,/m/083kb,1,0.816307,0.986879,0.505,0.6275,1,0,0,0,0,0.951265,0.986879,0.816307,0.816307,0.505,0.52375,0.6275,0.6125
00bd324b33e72e43,xclick,/m/083kb,1,0.39375,0.409375,0.128333,0.216667,1,0,0,1,0,0.406875,0.398125,0.409375,0.39375,0.128333,0.216667,0.13,0.215
