                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4588,                 3.3062,                 1.5678,                0.00332,                0.72368,                0.30757,                0.21952,                 1.0725,                 3.6603,                 1.4001,             0.00015003,             0.00015003,             0.00015003
                      2,                 1.4343,                 2.7697,                 1.5756,                0.00425,                0.86842,                0.20046,                0.10508,                 1.1994,                 3.5274,                 1.4832,             0.00031046,             0.00031046,             0.00031046
                      3,                 1.3802,                 2.5066,                  1.506,                0.00367,                0.76773,                0.25433,                0.13546,                 1.3157,                 3.4393,                 1.5954,             0.00046429,             0.00046429,             0.00046429
                      4,                 1.4146,                 2.3613,                 1.5026,                0.69825,                0.13043,                0.23009,                0.13044,                 1.4007,                 3.3435,                 1.6994,             0.00061151,             0.00061151,             0.00061151
                      5,                 1.4149,                 2.2487,                 1.4913,                0.80469,                0.26087,                0.35741,                0.17955,                 1.4931,                 3.2865,                 1.8917,             0.00075214,             0.00075214,             0.00075214
                      6,                 1.4122,                 2.1777,                 1.5169,                 0.6141,                0.32208,                0.21036,                0.10829,                 1.5801,                  3.503,                  2.009,             0.00088616,             0.00088616,             0.00088616
                      7,                 1.3995,                 2.1658,                 1.5188,                0.59138,                0.25229,                0.16828,                 0.0617,                 2.0175,                 3.8107,                 2.6648,              0.0010136,              0.0010136,              0.0010136
                      8,                 1.5193,                 2.2388,                 1.6254,                  0.172,                0.21739,                0.15953,                0.07971,                 1.7828,                 4.4698,                 2.4541,              0.0011344,              0.0011344,              0.0011344
                      9,                 1.5795,                  2.258,                 1.6204,                0.31403,                0.38435,                0.30204,                0.13782,                 1.8315,                 3.6768,                 2.4095,              0.0012486,              0.0012486,              0.0012486
                     10,                 1.5124,                 2.2193,                 1.5892,                0.66423,                0.15217,                0.14972,                0.05458,                 2.1389,                 5.4024,                 2.7929,              0.0013562,              0.0013562,              0.0013562
                     11,                  1.488,                 2.1197,                 1.5925,                 0.6442,                0.26087,                0.18488,                0.08491,                 1.9905,                 5.0215,                 2.5916,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.4156,                 2.1641,                 1.5687,                0.61512,                0.17391,                0.10912,                0.03782,                 2.1616,                  4.396,                 3.1439,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.5093,                 2.1234,                 1.5995,                0.36045,                0.28719,                0.16991,                 0.0621,                 2.1045,                 5.5757,                 2.8077,              0.0013039,              0.0013039,              0.0013039
                     14,                 1.4252,                 2.1719,                 1.5948,                0.18443,                0.26545,                0.15552,                 0.0816,                 2.1341,                 6.2097,                    2.8,              0.0012709,              0.0012709,              0.0012709
                     15,                 1.4337,                 2.0817,                  1.585,                0.22266,                0.41762,                0.22139,                0.13768,                 1.7582,                 4.0498,                 2.1733,              0.0012379,              0.0012379,              0.0012379
                     16,                 1.4281,                  2.044,                 1.5305,                0.26855,                0.21339,                0.18699,                0.07624,                 1.9725,                 3.4791,                 2.5228,              0.0012049,              0.0012049,              0.0012049
                     17,                 1.4514,                 1.9464,                  1.559,                0.28637,                0.41876,                0.21908,                0.06654,                 2.1391,                 3.1911,                 2.5896,              0.0011719,              0.0011719,              0.0011719
                     18,                 1.3723,                 1.8712,                 1.4761,                0.38226,                0.30034,                0.29833,                0.12083,                 2.1687,                  2.896,                 2.7081,              0.0011389,              0.0011389,              0.0011389
                     19,                 1.3817,                 1.8172,                 1.4823,                0.33122,                 0.3135,                0.23889,                0.09654,                  2.233,                 2.9053,                 2.6167,              0.0011059,              0.0011059,              0.0011059
                     20,                 1.3618,                 1.7928,                 1.4885,                0.31808,                0.33124,                0.19587,                0.08448,                 2.3106,                  3.134,                 2.6824,              0.0010729,              0.0010729,              0.0010729
                     21,                 1.4087,                 1.7647,                 1.5026,                0.24406,                0.36156,                0.18852,                0.07037,                 2.3486,                 3.2463,                 2.6605,              0.0010399,              0.0010399,              0.0010399
                     22,                 1.2826,                 1.7231,                 1.4525,                 0.2751,                0.37014,                0.19398,                0.07353,                 2.1559,                 3.4382,                 2.3957,              0.0010069,              0.0010069,              0.0010069
                     23,                 1.3062,                 1.7593,                 1.4664,                0.47718,                0.33524,                0.33554,                0.14695,                 1.8392,                 3.1148,                 2.1665,             0.00097386,             0.00097386,             0.00097386
                     24,                 1.3225,                 1.6312,                 1.4427,                 0.5315,                0.34363,                0.32962,                0.15051,                 1.8319,                 2.6377,                 2.2042,             0.00094085,             0.00094085,             0.00094085
                     25,                 1.2852,                 1.6034,                  1.408,                 0.5338,                0.36471,                0.37733,                0.19106,                 1.7879,                 2.5123,                 2.1405,             0.00090785,             0.00090785,             0.00090785
                     26,                 1.2426,                 1.5961,                 1.3926,                0.87433,                0.32609,                0.39488,                0.20189,                  1.699,                 2.8248,                 2.0795,             0.00087484,             0.00087484,             0.00087484
                     27,                 1.2461,                 1.5222,                 1.3984,                0.55781,                0.27797,                0.35915,                0.21045,                 1.6315,                 2.7325,                 2.0513,             0.00084184,             0.00084184,             0.00084184
                     28,                 1.2185,                 1.5433,                 1.3513,                 0.3589,                0.47025,                0.38686,                0.20129,                  1.802,                  2.575,                 2.0511,             0.00080883,             0.00080883,             0.00080883
                     29,                 1.1994,                 1.4525,                 1.3177,                0.38169,                0.44394,                0.35691,                0.17249,                 1.7967,                 2.5492,                 2.1333,             0.00077582,             0.00077582,             0.00077582
                     30,                 1.1797,                  1.365,                 1.3106,                0.30718,                0.37872,                0.32454,                0.18736,                 1.6789,                 2.9963,                 1.9953,             0.00074282,             0.00074282,             0.00074282
                     31,                 1.1764,                  1.468,                 1.3582,                0.32673,                0.32208,                0.33446,                0.16299,                 1.7934,                 3.2306,                 2.1262,             0.00070981,             0.00070981,             0.00070981
                     32,                 1.1408,                 1.3502,                 1.2751,                0.62833,                0.40555,                0.40904,                0.21621,                 1.7233,                 2.6665,                 2.1309,              0.0006768,              0.0006768,              0.0006768
                     33,                 1.1966,                  1.368,                  1.327,                0.50209,                0.47949,                0.46602,                0.25155,                 1.6443,                 2.2387,                 2.0534,              0.0006438,              0.0006438,              0.0006438
                     34,                 1.1733,                 1.3755,                 1.3373,                 0.5967,                0.42085,                0.44089,                0.23371,                 1.6525,                 2.2586,                  2.036,             0.00061079,             0.00061079,             0.00061079
                     35,                 1.1168,                 1.2905,                 1.2881,                0.78875,                0.37201,                0.42835,                0.24279,                 1.6618,                 2.4398,                 2.0413,             0.00057778,             0.00057778,             0.00057778
                     36,                 1.1119,                 1.2597,                 1.2855,                0.50973,                0.43078,                 0.4234,                0.24315,                  1.724,                 2.4598,                 2.0016,             0.00054478,             0.00054478,             0.00054478
                     37,                 1.0494,                 1.2805,                 1.2582,                0.38281,                 0.5143,                0.43791,                0.24219,                 1.7852,                 2.2649,                 2.0246,             0.00051177,             0.00051177,             0.00051177
                     38,                 1.0964,                 1.2369,                 1.2752,                0.62701,                 0.3833,                0.45566,                0.26417,                 1.7334,                 2.2296,                 1.9818,             0.00047876,             0.00047876,             0.00047876
